McFarlane figures (2020–present),,,
,,,
Standard figures,,,
Q3 2024,Batman (Dick Grayson),"4 alternate hands, display stand and Frank Quitely and Alex Sinclair art card",Batman and Robin version
Q4 2024,Batman/Superman Fusion,"Alternate hand, 3 Kryptonite batarangs, display stand and Dan Mora and Tamra Bonvillain art card",''World's Finest'' version
Q4 2024,Cyborg,"Arm cannon, display stand and Will Conrad art card",DC Rebirth version
Q4 2024,Red Hood (Jason Todd),"Crowbar, katana, alternate hands, display stand and Carmine Di Giandomenico art card",Dawn of DC version
Q4 2024,Batman,"Ace the Bat-Hound, batarang, 4 alternate hands, display stand and Sheldon Moldoff art card",Silver Age version
Q4 2024,Batman (Terry McGinnis),"Alternate hands, display stand and Max Dunbar art card",Batman Beyond: Neo-Gothic version
Q4 2024,Batman,"Batarang, alternate hands, display stand and Lee Bermejo art card",Batman: Noel version
Q4 2024,Armored Batman,"2 alternate hands, display stand and Ben Affleck photo card",Batman v Superman: Dawn of Justice version
Q4 2024,Wonder Woman,"Lasso of Truth, sword, shield, display stand and Gal Gadot photo card",Batman v Superman: Dawn of Justice version Redeco and retool of the Shazam: Fury of the Gods Wonder Woman with a new head and accessories
Q4 2024,Knightmare Batman,"Goggles, binoculars, display stand and Ben Affleck photo card",Batman v Superman: Dawn of Justice version
Q1 2025,Superman,"Alternate hands, display stand stand and Pablo Villalobos art card",Fleischer shorts version Retool and redeco of the Crisis on Infinite Earths Superman with a new head
Q1 2025,Tempest,"2 water effect pieces, display stand and Lucas Meyer art card",DC Rebirth version
Q1 2025,Dark Flash (Walter West),"2 lightning effect pieces, display stand and Steve Lightle art card",Dark Flash Saga version
Q1 2025,Batman,"Batarang, grappling gun, scanner, 2 throwing stars, 4 alternate hands, 2 cape handles, display stand and Michael Keaton photo card",Batman version
Q1 2025,Batman,"Batarang, grappling pistol, alternate hands, display stand and Christian Bale photo card",Batman Begins version
Q1 2025,Batman One Million,"Batarang, display stand and card",Justice Legion Alpha version
Q2 2025,Western World Batman,"Batarang, display stand and Ivan Reis art card",Batman/Superman: The Archive of Worlds version
Q2 2025,Eradicator,"2 alternate hands, display stand and card",Reign of the Supermen version Repaint of the Gold Label Eradicator
Q2 2025,Armored Green Lantern (Hal Jordan),"Hammer, display stand and M.D. Bright and Romeo Tanghal art card",Return of Superman version Retool and redeco of Steel with a new head
Q2 2025,Alfred Pennyworth,"Apron, 5 tools, 6 alternate hands, display stand and Jeremy Irons photo card",Batman v Superman: Dawn of Justice version
Q2 2025,Superman,"2 alternate hands, display stand and card",Superman version
Q2 2025,Metamorpho,"2 alternate hands, display stand and card",Superman version
